protein_id	arcog	category	COG.x	V4	V2	V3	Strand	Length	Gene	Synonym	Code	COG.y	Product	new	start	end	name	refseq_id	uniparc_id
18978324	arCOG00073	0	E	PAPS reductase related enzyme  fused to RNA-binding PUA domain and ferredoxin domain	NP_579681.1	AAL82076	-	641	-	PF1952	-	-	iron-sulfur protein	PFDSM3638_09830	1769993	1771894	hypothetical protein	A0A5C0XRP7	UPI00026B5474
18978372	arCOG00076	0	E	Glycine cleavage system protein P (pyridoxal-binding), C-terminal domain	NP_579729.1	AAL82124	+	502	-	PF2000	-	-	glycine dehydrogenase (decarboxylating) subunit 2	PFDSM3638_10080	1814939	1816447	glycine dehydrogenase	A0A5C0XR97	UPI0000068866
18978371	arCOG00077	0	E	Glycine cleavage system protein P (pyridoxal-binding), N-terminal domain	NP_579728.1	AFN04644	+	448	-	PF1999	-	-	glycine dehydrogenase (decarboxylating) subunit 1	PFDSM3638_10075	1813592	1814938	glycine dehydrogenase	A0A5C0XS37	UPI0000068865
18976431	arCOG00078	0	J	Fibrillarin-like rRNA methylase	NP_577788.1	AFN04515	-	227	-	PF0059	-	-	fibrillarin-like pre-rRNA processing protein	PFDSM3638_00220	49289	49972	fibrillin	A0A5C0XPR5	UPI000012AA24
18977486	arCOG00081	0	F	Orotidine-5'-phosphate decarboxylase	NP_578843.1	CBN67792	+	211	-	PF1114	-	-	orotidine-5'-phosphate decarboxylase	PFDSM3638_05585	1044800	1045435	orotidine-5'-phosphate decarboxylase	A0A5C0XPQ1	UPI0000132D2A
18977844	arCOG00082	0	E	Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase	NP_579201.1	AFN04255	-	383	-	PF1472	-	-	aspartate/serine transaminase	PFDSM3638_07380	1361086	1362237	alanine--glyoxylate aminotransferase family protein	A0A5C0XQV0	UPI0000066FDB
18978330	arCOG00084	0	R	tRNA(Ser,Leu) C12 N-acetylase TAN1, contains THUMP domain	NP_579687.1	AFN04683	+	157	-	PF1958	-	-	hypothetical protein	PFDSM3638_09860	1775383	1775856	RNA-binding protein	A0A5C0XR56	UPI0000067137
18977888	arCOG00085	0	F	GMP synthase, PP-ATPase domain/subunit	NP_579245.1	AAL81640	-	313	-	PF1516	-	-	GMP synthase	PFDSM3638_07635	1397367	1398290	glutamine-hydrolyzing GMP synthase	A0A5C0XQZ6	UPI00026B5369
18978080	arCOG00086	0	E	Anthranilate/para-aminobenzoate synthase component II	NP_579437.1	AFN04932	-	188	-	PF1708	-	-	anthranilate synthase component II	PFDSM3638_08655	1569567	1570133	type 1 glutamine amidotransferase	A0A5C0XRV3	UPI0000067084
18977887	arCOG00087	0	F	GMP synthase - Glutamine amidotransferase domain	NP_579244.1	AFN04298	-	188	-	PF1515	-	-	GMP synthase	PFDSM3638_07630	1396791	1397357	GMP synthase	A0A5C0XWH3	UPI0000066FFE
18978033	arCOG00089	0	E	Glutamine amidotransferase	NP_579390.1	AFN04979	+	194	-	PF1661	-	-	glutamine amidotransferase	PFDSM3638_08405	1529543	1530127	imidazole glycerol phosphate synthase subunit HisH	A0A5C0XRB1	UPI000012C809
18976526	arCOG00093	0	F	Glutamine phosphoribosylpyrophosphate amidotransferase	NP_577883.1	AKW66159	+	449	-	PF0154	-	-	amidophosphoribosyltransferase	PFDSM3638_00710	144736	146064	amidophosphoribosyltransferase		
18976576	arCOG00095	0	E	Glutamate synthase domain 1	NP_577933.1	AFN02992	+	369	-	PF0204	-	-	hypothetical protein	PFDSM3638_00965	203072	204181	hypothetical protein		
18976578	arCOG00096	0	E	Glutamate synthase domain 3	NP_577935.1	AFN02994	+	275	-	PF0206	-	-	hypothetical protein	PFDSM3638_00975	205683	206510	hypothetical protein		
18976570	arCOG00102	0	F	Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain	NP_577927.1	AAL80322	+	227	-	PF0198	-	-	phosphoribosylformylglycinamidine synthase	PFDSM3638_00935	193331	194002	phosphoribosylformylglycinamidine synthase I	A0A5C0XQ35	UPI0000132B5F
18976673	arCOG00105	0	H	Cobyric acid synthase	NP_578030.1	AFN03090	-	483	-	PF0301	-	-	cobyric acid synthase	PFDSM3638_01445	299675	301126	cobyric acid synthase CobQ	A0A5C0XMU6	UPI0000127DFB
18978045	arCOG00109	0	J	Methylase of polypeptide chain release factors	NP_579402.1	AAL81797	-	201	-	PF1673	-	-	protoporphyrinogen oxidase	PFDSM3638_08470	1540478	1541083	protoporphyrinogen oxidase	A0A5C0XTU5	UPI000006706D
18978023	arCOG00110	0	J	16S RNA G1207 methylase RsmC	NP_579380.1	AFN04989	-	195	-	PF1651	-	-	hypothetical protein	PFDSM3638_08355	1520470	1521057	class I SAM-dependent methyltransferase		
18977219	arCOG00111	0	Q	SAM-dependent methyltransferase	NP_578576.1	AFN03635	-	248	-	PF0847	-	-	hypothetical protein	PFDSM3638_04220	802874	803620	SAM-dependent methyltransferase		
18976579	arCOG00112	0	E	Argininosuccinate synthase	NP_577936.1	AFN02995	+	410	-	PF0207	-	-	argininosuccinate synthase	PFDSM3638_00980	206599	207831	argininosuccinate synthase	A0A5C0XM33	UPI0000126191
18976637	arCOG00113	0	H	7-keto-8-aminopelargonate synthetase or related enzyme	NP_577994.1	AFN03052	+	395	-	PF0265	-	-	2-amino-3-ketobutyrate CoA ligase (glycine acetyl transferase)	PFDSM3638_01260	257932	259119	8-amino-7-oxononanoate synthase	A0A5C0XNH4	UPI0000068855
18977139	arCOG00118	0	M	Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis	NP_578496.1	AFN03551	-	364	-	PF0767	-	-	pleiotropic regulatory protein degT	PFDSM3638_03810	741974	743068	DegT/DnrJ/EryC1/StrS family aminotransferase	A0A5C0XND9	UPI0000066D87
18977164	arCOG00121	0	E	Asparagine synthase (glutamine-hydrolyzing)	NP_578521.1	AFN03579	-	536	-	PF0792	-	-	hypothetical protein	PFDSM3638_03945	760334	761944	asparagine synthase	A0A5C0XP58	UPI0000066D9F
18977199	arCOG00122	0	J	tRNA (uracil-54, C5)-methyltransferase	NP_578556.1	AFN03615	-	409	-	PF0827	-	-	putative RNA methyltransferase	PFDSM3638_04120	788841	790070	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD		
18977544	arCOG00122	0	J	tRNA (uracil-54, C5)-methyltransferase	NP_578901.1	AFN03963	+	411	-	PF1172	-	-	RNA methyltransferase	PFDSM3638_05875	1103737	1104972	23S rRNA (uracil(1939)-C(5))-methyltransferase RlmD	A0A5C0XQJ8	UPI0000066EE5
18976515	arCOG00130	0	G	MFS family permease	NP_577872.1	AFN04433	+	387	-	PF0143	-	-	quinolone resistance protein norA - like protein	PFDSM3638_00655	136322	137485	MFS transporter		
18976815	arCOG00130	0	G	MFS family permease	NP_578172.1	AAG28456	-	443	-	PF0443	-	-	putative membrane transport protein	PFDSM3638_02200	441769	443100	MFS transporter		
18976978	arCOG00130	0	G	MFS family permease	NP_578335.1	AAL80730	+	400	-	PF0606	-	-	hypothetical protein	PFDSM3638_03040	610433	611635	MFS transporter		
18977069	arCOG00130	2	G	MFS family permease	NP_578426.1	AAL80821	+	106	-	PF0697	-	-	multidrug resistance protein	PFDSM3638_03475	687888	688208	MFS transporter		
18977198	arCOG00130	0	G	MFS family permease	NP_578555.1	AFN03614	-	368	-	PF0826	-	-	putative transport membrane protein	PFDSM3638_04115	787711	788817	MFS transporter		
18977353	arCOG00130	0	G	MFS family permease	NP_578710.1	AFN03776	+	417	-	PF0981	-	-	hypothetical efflux transport protein	PFDSM3638_04935	919905	921158	MFS transporter		
18977722	arCOG00130	0	G	MFS family permease	NP_579079.1	AFN04130	+	428	-	PF1350	-	-	hypothetical protein	PFDSM3638_06730	1251125	1252411	MFS transporter		
18976404	arCOG00131	0		MFS family permease	NP_577761.1	AFN04541	+	94	-	PF0032	-	-	hypothetical permease	PFDSM3638_00085	23500	23784	permease		
18976512	arCOG00132	0	G	MFS family permease	NP_577869.1	AFN04436	-	387	-	PF0140	-	-	putative sugar transporter protein	PFDSM3638_00640	133180	134343	MFS transporter		
18978374	arCOG00137	0	G	MFS family permease	NP_579731.1	AFN04640	-	442	-	PF2002	-	-	sucrose transport protein	PFDSM3638_10100	1817647	1818975	MFS transporter		
18977317	arCOG00139	2	G	MFS family permease	NP_578674.1	AAL81069	-	135	-	PF0945	-	-	hypothetical protein	PFDSM3638_04735	891718	892107	hypothetical protein		
33359528	arCOG00139	2	G	MFS family permease	NP_578676.2	WP_011012083	-	260	-	PF0947	-	-	hypothetical protein	PFDSM3638_04745	892891	893664	MFS transporter		
18978111	arCOG00151	0	G	ABC-type sugar transport system, periplasmic component	NP_579468.1	AFN04901	+	450	-	PF1739	-	-	trehalose/maltose binding protein						
18976491	arCOG00152	0	G	Maltose-binding periplasmic protein	NP_577848.1	AFN04458	-	541	-	PF0119	-	-	putative perplasmic sugar binding protein	PFDSM3638_00520	107267	108892	ABC transporter substrate-binding protein	A0A5C0XMH1	UPI0000066B69
18978339	arCOG00153	0	G	ABC-type trehalose transport system, periplasmic component	NP_579696.1	AFN04674	+	427	-	PF1967	-	-	hypothetical protein	PFDSM3638_09905	1782895	1784178	carbohydrate ABC transporter substrate-binding protein	A0A5C0XS08	UPI000006713D
18978310	arCOG00154	0	G	Maltose-binding periplasmic protein	NP_579667.1	AFN04702	-	434	-	PF1938	-	-	putative malE-like sugar binding protein	PFDSM3638_09745	1755987	1757291	maltotriose-binding protein	A0A5C0XRY5	UPI000012EB48
18976490	arCOG00157	0	G	ABC-type sugar transport system, permease component	NP_577847.1	AFN04459	-	315	-	PF0118	-	-	putative ABC transporter permease protein	PFDSM3638_00515	106319	107266	sugar ABC transporter permease		
18978112	arCOG00157	0	G	ABC-type sugar transport system, permease component	NP_579469.1	AFN04900	+	297	-	PF1740	-	-	trehalose/maltose transport inner membrane protein						
18978309	arCOG00157	0	G	ABC-type sugar transport system, permease component	NP_579666.1	AFN04703	-	298	-	PF1937	-	-	putative malf-like sugar transport inner membrane protein	PFDSM3638_09740	1755052	1755948	sugar ABC transporter permease		
18978340	arCOG00157	0	G	ABC-type sugar transport system, permease component	NP_579697.1	AFN04673	+	284	-	PF1968	-	-	sugar transport membrane protein	PFDSM3638_09910	1784217	1785071	sugar ABC transporter permease		
18976489	arCOG00159	0	G	ABC-type sugar transport system, permease component	NP_577846.1	AFN04460	-	289	-	PF0117	-	-	putative sugar transport protein	PFDSM3638_00510	105453	106322	carbohydrate ABC transporter permease		
18978113	arCOG00159	0	G	ABC-type sugar transport system, permease component	NP_579470.1	AFN04899	+	278	-	PF1741	-	-	trehalose/maltose transport inner membrane protein						
18978341	arCOG00159	0	G	ABC-type sugar transport system, permease component	NP_579698.1	AFN04672	+	277	-	PF1969	-	-	sugar ABC transporter, permease protein	PFDSM3638_09915	1785068	1785901	carbohydrate ABC transporter permease		
18978308	arCOG00160	3	G	ABC-type maltose transport system, permease component	NP_579665.1	AFN04704	-	415	-	PF1936	-	-	putative malg-like sugar transport inner membrane protein	PFDSM3638_09735	1753808	1755055	sugar transporter		
18978308	arCOG00160	1	G	ABC-type maltose transport system, permease component	NP_579665.1	AFN04704	-	415	-	PF1936	-	-	putative malg-like sugar transport inner membrane protein	PFDSM3638_09735	1753808	1755055	sugar transporter		
18977892	arCOG00163	0	P	ABC-type Fe3+ transport system, permease component	NP_579249.1	AAL81644	-	521	-	PF1520	-	-	ABC transporter integral membrane protein	PFDSM3638_07655	1401542	1403107	iron ABC transporter permease		
18978120	arCOG00163	2	P	ABC-type Fe3+ transport system, permease component	NP_579477.1	AAL81872	+	322	-	PF1748	-	-	putative sulfate transport system permease protein, ABC transporter						
18978121	arCOG00163	0	P	ABC-type Fe3+ transport system, permease component	NP_579478.1	AAL81873	+	228	-	PF1749	-	-	putative sulfate transport integral membrane protein						
18976453	arCOG00164	0	O	ABC-type sulfate transport system, permease component	NP_577810.1	AAL80205	+	263	-	PF0081	-	-	sulfate/thiosulfate transport-like protein	PFDSM3638_00335	70317	71066	molybdenum ABC transporter permease		
18977378	arCOG00167	0	P	ABC-type phosphate transport system, permease component	NP_578735.1	AAL81130	+	282	-	PF1006	-	-	putative phosphate transport system permease protein C	PFDSM3638_05055	945915	946835	phosphate ABC transporter permease subunit PstC		
18977379	arCOG00168	0	P	ABC-type phosphate transport system, permease component	NP_578736.1	AAL81131	+	289	-	PF1007	-	-	phosphate transport system permease psta	PFDSM3638_05060	946783	947652	phosphate ABC transporter, permease protein PstA		
18976454	arCOG00175	0	G	ABC-type sugar transport system, ATPase component	NP_577811.1	AFN04492	+	344	-	PF0082	-	-	membrane protein	PFDSM3638_00340	71059	72093	molybdenum ABC transporter ATP-binding protein	A0A5C0XN35	UPI0000066B4B
18976488	arCOG00175	0	G	ABC-type sugar transport system, ATPase component	NP_577845.1	AFN04461	-	364	-	PF0116	-	-	putative multiple sugar transport protein	PFDSM3638_00505	104347	105441	ABC transporter ATP-binding protein	A0A5C0XLN9	UPI0000066B66
18977891	arCOG00175	0	G	ABC-type sugar transport system, ATPase component	NP_579248.1	AFN04302	-	331	-	PF1519	-	-	sugar-binding transport ATP-binding protein	PFDSM3638_07650	1400553	1401548	ABC transporter ATP-binding protein		
18978116	arCOG00175	0	G	ABC-type sugar transport system, ATPase component	NP_579473.1	AFN04896	+	372	-	PF1744	-	-	trehalose/maltose transport ATP-hydrolyzing						
18978122	arCOG00175	0	G	ABC-type sugar transport system, ATPase component	NP_579479.1	AFN04891	+	337	-	PF1750	-	-	putative sugar-binding transport ATP-binding protein						
